id,title,doi,publication_year
https://openalex.org/W2101234009,Scikit-learn: Machine Learning in Python,https://doi.org/10.48550/arxiv.1201.0490,2012
https://openalex.org/W3023540311,"Genetic algorithms in search, optimization, and machine learning",https://doi.org/10.5860/choice.27-0936,1989
https://openalex.org/W2125055259,C4.5: Programs for Machine Learning,,1992
https://openalex.org/W1663973292,Pattern Recognition and Machine Learning,https://doi.org/10.1117/1.2819119,2007
https://openalex.org/W3120740533,UCI Machine Learning Repository,,2007
https://openalex.org/W1570448133,Data Mining: Practical Machine Learning Tools and Techniques,https://doi.org/10.1016/c2009-0-19715-5,2011
https://openalex.org/W4211049957,Gaussian Processes for Machine Learning,https://doi.org/10.7551/mitpress/3206.001.0001,2005
https://openalex.org/W1639032689,"Genetic algorithms in search, optimization, and machine learning",,1988
https://openalex.org/W1746819321,Gaussian Processes for Machine Learning,,2005
https://openalex.org/W2084812512,UCI Repository of machine learning databases,,1998
https://openalex.org/W1503398984,Machine Learning : A Probabilistic Perspective,,2012
https://openalex.org/W4212863985,Pattern Recognition and Machine Learning,https://doi.org/10.1007/978-0-387-45528-0,2006
https://openalex.org/W1504694836,Programs for Machine Learning,,1994
https://openalex.org/W1534477342,Ensemble Methods in Machine Learning,https://doi.org/10.1007/3-540-45014-9_1,2000
https://openalex.org/W2118020653,Machine learning in automated text categorization,https://doi.org/10.1145/505282.505283,2002
https://openalex.org/W2953384591,TensorFlow: A system for large-scale machine learning,https://doi.org/10.48550/arxiv.1605.08695,2016
https://openalex.org/W2913668833,Proceedings of the 25th international conference on Machine learning,,2008
https://openalex.org/W1506806321,Pattern Recognition and Machine Learning (Information Science and Statistics),,2006
https://openalex.org/W2149684865,Text categorization with Support Vector Machines: Learning with many relevant features,https://doi.org/10.1007/bfb0026683,1998
https://openalex.org/W2271840356,TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,https://doi.org/10.48550/arxiv.1603.04467,2016
https://openalex.org/W1901616594,"Machine learning: Trends, perspectives, and prospects",https://doi.org/10.1126/science.aaa8415,2015
https://openalex.org/W2155653793,The use of the area under the ROC curve in the evaluation of machine learning algorithms,https://doi.org/10.1016/s0031-3203(96)00142-2,1997
https://openalex.org/W2402144811,TensorFlow: a system for large-scale machine learning,https://doi.org/10.5555/3026877.3026899,2016
https://openalex.org/W1502922572,Gaussian Processes in Machine Learning,https://doi.org/10.1007/978-3-540-28650-9_4,2004
https://openalex.org/W1583837637,Proceedings of the 24th international conference on Machine learning,https://doi.org/10.1145/1273496,2007
https://openalex.org/W2131241448,Practical Bayesian Optimization of Machine Learning Algorithms,https://doi.org/10.48550/arxiv.1206.2944,2012
https://openalex.org/W114517082,Large-Scale Machine Learning with Stochastic Gradient Descent,https://doi.org/10.1007/978-3-7908-2604-3_16,2010
https://openalex.org/W1680797894,Encyclopedia of Machine Learning,https://doi.org/10.1007/978-0-387-30164-8,2010
https://openalex.org/W1541288193,Genetic Algorithms and Machine Learning,https://doi.org/10.1023/a:1022602019183,1988
https://openalex.org/W3198350258,Some Studies in Machine Learning Using the Game of Checkers,https://doi.org/10.1147/rd.33.0210,1959
https://openalex.org/W2594639291,Pattern recognition and machine learning,https://doi.org/10.5860/choice.44-5091,2007
https://openalex.org/W1532362218,Machine Learning for High-Speed Corner Detection,https://doi.org/10.1007/11744023_34,2006
https://openalex.org/W2750384547,Fashion-MNIST: a Novel Image Dataset for Benchmarking Machine Learning Algorithms,https://doi.org/10.48550/arxiv.1708.07747,2017
https://openalex.org/W1495061682,Correlation-based Feature Selection for Machine Learning,,1998
https://openalex.org/W1873332500,Supervised Machine Learning: A Review of Classification Techniques,,2007
https://openalex.org/W2912213068,Federated Machine Learning,https://doi.org/10.1145/3298981,2019
https://openalex.org/W1485009520,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting,https://doi.org/10.48550/arxiv.1506.04214,2015
https://openalex.org/W2040884411,Selection of relevant features and examples in machine learning,https://doi.org/10.1016/s0004-3702(97)00063-5,1997
https://openalex.org/W2009086942,Pattern Recognition and Machine Learning,https://doi.org/10.1198/tech.2007.s518,2007
https://openalex.org/W2559394418,Quantum machine learning,https://doi.org/10.1038/nature23474,2017
https://openalex.org/W2560674852,Proceedings of the 25th international conference on Machine learning - ICML '08,https://doi.org/10.1145/1390156,2008
https://openalex.org/W2997591727,Scikit-learn: Machine Learning in Python,https://doi.org/10.5555/1953048.2078195,2011
https://openalex.org/W2115252128,Dlib-ml: A Machine Learning Toolkit,https://doi.org/10.5555/1577069.1755843,2009
https://openalex.org/W2982720039,UCI Repository of Machine Learning Databases,,1996
https://openalex.org/W2177870565,Machine Learning in Medicine,https://doi.org/10.1161/circulationaha.115.001593,2015
https://openalex.org/W164706946,Gaussian Processes for Machine Learning (Adaptive Computation and Machine Learning),,2005
https://openalex.org/W607505555,Understanding Machine Learning: From Theory To Algorithms,,2015
https://openalex.org/W4236362309,Understanding Machine Learning,https://doi.org/10.1017/cbo9781107298019,2014
https://openalex.org/W3011460294,"Genetic Algorithms in Search, Optimization & Machine Learning",,1989
https://openalex.org/W2142334564,"Machine Learning, Neural and Statistical Classification",https://doi.org/10.2307/1269742,1995
